candidate_id,title,year,publisher,metadata_source,source_url,final_url,raw_sha256,text_sha256,text_words
OFFICIAL-001,AMCU Heads of Argument,2014,AMCU,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-AMCU.pdf,4f2b5a56bb32eef8f4d49513e3f823eb1df9e71b82480217fec74715afaba116,2329ab8cdbe3f8fa3df7ee773e7e983be5312963fdc8b679bdef89a76073d5e8,57418
OFFICIAL-002,Bapo ba Mogale Heads of Argument,2014,Bapo ba Mogale,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-BapoBaMogale.pdf,f95ee11427c53a93dda576ce51a8ea7ca9e088a20e5a408807aa3c40a2f37bb0,bf91091cb4bf84e25d30f185ba2eb3585778bf3380225d4784d38d5dc3502d81,4217
OFFICIAL-003,DMR-Shabangu Heads of Argument,2014,DMR / Minister Shabangu,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DMR-Shabangu.pdf,2113706d2dd3caa2d41289923e5a960b2844042c990cedc78b8e057672d17f2c,5288dfb49d45a8f549d5229874e443544b52b896cbe321e8d1b7863392bdce22,4322
OFFICIAL-004,Heads of Argument of Evidence Leaders,2014,Evidence Leaders,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-EvidenceLeaders.pdf,a278e432d0c7e22d539d92e89710f6a5487653f084de5620bea9062ea30f893d,f4ce0be5d9baf3db8d7d074b677d63407395ef7b7bdc5299da78d6cbd1e34796,169497
OFFICIAL-005,Heads of Argument on behalf of Families,2014,Families,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Families.pdf,10cee97065638472c3bde3dbf49acb2385a68a908d57b5d7a9c9bef4bc5568a4,97197fa8184c836d151d3fbd7b4a1ab98de9f6d2e3c2f1ad892a10be1a866b60,76233
OFFICIAL-006,Heads of Argument of Injured and Arrested Persons,2014,Injured and Arrested Persons,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-InjuredArrested.pdf,432dd7ab85996f0c5a091e61a2e1e0fcb2352c2f886a814e9f005fb956c4b8a0,356f1855cd0637e8952cc67ecdc60abc4b4d9c4f5a4c2cab6c9f67b8f1af8574,73475
OFFICIAL-007,Lonmin Heads of Argument,2014,Lonmin,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Lonmin.pdf,c4f2c87596610a942adf5ac339aef291b5e8e3c75372ff95e61ff01af3b14cb4,5c1f24061040aecc1558bba8d8970a60f48a6f7dcafe4ce43a04a2f74a457973,45505
OFFICIAL-008,Heads of Argument of the Legal Resources Centre (Phase 1) on behalf of the Ledingoane Family and Bench Marks Foundation,2014,Bench Marks Foundation / Ledingoane Family (represented by Legal Resources Centre),institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-LRC.pdf,a2a3e9661ff56739109e52b44d1c03cdee28a2c5d4a5e6c0dfe4d3e1243d2545,a649b91c5e35c9cfc39e86fd53c0a163fe971bc0f937ee9ab30b37911d9bbb8f,69796
OFFICIAL-009,Mthethwa Heads of Argument,2014,Nathi Mthethwa,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Mthethwa.pdf,3a5b1dd209b8d180ed94f99085c9d03b23064dabbf6a41856ffde9697ef06cec,892f98b329784669fab509bbb8e55f1e9689245c0fe10bd136794bf3a7080589,6365
OFFICIAL-010,NUM & Mrs Fundi Heads of Argument,2014,NUM and Mrs Fundi,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-NUM-MrsFundi.pdf,2e4ec90d5f431c7f457a1016c189e0d01f377b5de27971fd57c16540ef033984,3fdc8bf2a63f46b2df2e4212f34f53a78de15400010c50235f7f6284855cf532,43558
OFFICIAL-011,Ramaphosa Heads of Argument,2014,Cyril Ramaphosa,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Ramaphosa.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-Ramaphosa.pdf,3ef8af1f25f3408d100e257fcc89e47e00be9b4af7e484c3e709f2e5c5893745,ab7a93971c586d66ee5da7a6c867d195ffbd0917fc9b5447d789395177580feb,16541
OFFICIAL-012,SAHRC Heads of Argument,2014,South African Human Rights Commission,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAHRC.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAHRC.pdf,34ceabb20c67c27db1464179ea8be21bf8fe520e019b6cc43af3ab95be37d458,6bdf5798adaa8e731758f3498481812084e324086335a3b606ec3e17c364d6d6,174810
OFFICIAL-013,SAPS Heads of Argument,2014,South African Police Service,institutional_replacement_candidates,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAPS.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-SAPS.pdf,9401038ee48a2c514e7c90494a834eb393ecda9a12a50158201af4623a4efa9f,a7b4478bacea28047be412d4fc4f21ff7805f53ecb495d4f70e8e656063dfe18,57831
INST-001,Marikana Commission of Inquiry: Report on matters of public national and international concern arising out of tragic incidents at Lonmin Mine in Marikana,2015,South African Human Rights Commission mirror of official Farlam report,source_overrides,https://www.sahrc.org.za/home/21/files/marikana-report-1.pdf,https://sahrc.org.za/home/21/files/marikana-report-1.pdf,6dc14bc3df9126bb337c42af38eab6efb3f598521a80ab51265bff71ad6de66c,163a99e15ce37d18416ec8c0240fbd9d2295b43369d59437a4481394241b391d,153495
INST-002,Policy Gap 6: A Review of Platinum Mining in the Bojanala District of the North West Province,2012,Bench Marks Foundation,retrieval_manifest,https://www.bench-marks.org.za/wp-content/uploads/2021/02/rustenburg_review_policy_gap_final_aug_2012.pdf,https://www.bench-marks.org.za/wp-content/uploads/2021/02/rustenburg_review_policy_gap_final_aug_2012.pdf,251a4f08358bf84872fbd216832e8f2c13582629254e594fe4825880a6869ade,11211d480bd110f3ad9a047f1571a99f6af3aa7929786c2fa79123f56b604079,51202
INST-005,Statement on behalf of the deceased miners' families represented before the Marikana Commission of Inquiry,2013,Socio-Economic Rights Institute of South Africa,retrieval_manifest,https://justice.gov.za/comm-mrk/exhibits/Exhibit-FFF-26.pdf,https://justice.gov.za/comm-mrk/exhibits/Exhibit-FFF-26.pdf,a7dc18f133703008c2714a215f68fa105efe5c971a954c7242d15707b840b095,202893e33c78b34d58da9f4c3629db2c8d187835c2ed2238dd883f94618e1f31,267
INST-003,Zero Hour: Poor Governance of Mining and the Violation of Environmental Rights in South Africa,2016,Centre for Environmental Rights,retrieval_manifest,https://cer.org.za/wp-content/uploads/2016/06/Zero-Hour-May-2016.pdf,https://cer.org.za/wp-content/uploads/2016/06/Zero-Hour-May-2016.pdf,c7ae6ae2b71b3fe1a176659468ec949ea9883f077137c7d69159990677099048,68b068f7bacb9b893de771effd880cdc25feea6c816aa8acffd40ba3d6668482,61984
MEDIA-001,Lonmin killings hurt SA as mining destination,2012,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-killings-hurt-sa-as-mining-destination-2012-09-10,https://www.miningweekly.com/article/lonmin-killings-hurt-sa-as-mining-destination-2012-09-10,87741867bb2c845bb6a7342767dcc42c949d4d1c594c5830169ef370af3a0cca,2baf16255b351cd39de6f66ea1a78fde9add9c6bdef55dffbc8777ceaa6f1b89,1075
MEDIA-002,Lonmin's killing fields: the inevitable tragic next move,2012,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2012-08-17-lonmins-killing-fields-the-inevitable-tragic-next-move/,https://www.dailymaverick.co.za/article/2012-08-17-lonmins-killing-fields-the-inevitable-tragic-next-move/,73d799f4cb22fff9ba486982121baa9a1902233d7a17df243de26035ca26e0b5,7dd4399a36895df63e383406f6829917b5fc670737d155cd1b39b8b4b3510bb2,1205
MEDIA-003,Lonmin: Malema fans the flames but the victims are still out in the cold,2012,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2012-08-18-lonmin-malema-fans-the-flames-but-the-victims-are-still-out-in-the-cold/,https://www.dailymaverick.co.za/article/2012-08-18-lonmin-malema-fans-the-flames-but-the-victims-are-still-out-in-the-cold/,29d481358517cf7ea1a7249bf88bae88046c7488e79318d59afe6fde4185aabe,ad7f9339bb80d256c291459733ad8888ed53913973663e5086f6adf3947de7b3,2194
MEDIA-004,Marikana: Police torture takes centre stage,2012,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2012-08-28-marikana-police-torture-takes-central-stage/,https://www.dailymaverick.co.za/article/2012-08-28-marikana-police-torture-takes-central-stage/,77be38cafe8f7a7ab4b4cfa3dd352da63c77fe9ec1789d69bfa0664e087e3950,6823488070f8637201f6485e7c1678e0b25fb031012d4de1d46c2e7b658e25b5,1236
MEDIA-005,Marikana eyewitness: He raised his hands they shoot him in the head,2012,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2012-09-06-marikana-eyewitness-he-raised-his-hands-they-shoot-him-in-the-head/,https://www.dailymaverick.co.za/article/2012-09-06-marikana-eyewitness-he-raised-his-hands-they-shoot-him-in-the-head/,b30184fc37450b3fd0eced653c57780c3285a40761488fee136b23142e5aa3da,c7e506a9597340efb24b8c3f7c2dccd1ac0452b37c03debd5fbad90883fdcd30,1165
MEDIA-006,Marikana: Mourning families and their forgotten legal rights,2012,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2012-08-28-marikana-mourning-families-and-their-forgotten-legal-rights/,https://www.dailymaverick.co.za/article/2012-08-28-marikana-mourning-families-and-their-forgotten-legal-rights/,aca92e9a1d079c3f5854aa78fa45c92b3476a5b7bda82dab4b9b8385e9130445,75a60d9c89b60dc5f0cb4300f5c6911e952d005fa07524248f0b4470a5a8e445,1357
MEDIA-007,FIVE MINUTES: SOUTH AFRICA 16 August 2012,2012,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2012-08-16-five-minutes-south-africa-16-august-2012/,https://www.dailymaverick.co.za/article/2012-08-16-five-minutes-south-africa-16-august-2012/,0106c99e4b7df0f259ff91d0cabba1410dbd58852c5919819f25f48e8ee610e8,a28c1b1c9591aadca97f55f17a227a89884c6e9ee63138d81d66e9917291b2c5,1013
MEDIA-008,Lonmin commemorates deceased mineworkers describes massacre as catalyst for change,2013,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-commemorates-deceased-mineworkers-describes-massacre-as-catalyst-for-change-2013-08-23,https://www.miningweekly.com/article/lonmin-commemorates-deceased-mineworkers-describes-massacre-as-catalyst-for-change-2013-08-23,060bfc9c8ddb4e3c604824c7b3e08e5219f659389d4e38fd9fa898a201d4644f,33df94c4dc071e31a220428290a8e9514abe0fd4d97f5a0a24b1620bb03f2d74,1096
MEDIA-009,Economy failed miners says AMCUs Mathunjwa,2013,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/economy-failed-miners-says-amcus-mathunjwa-2013-08-16,https://www.miningweekly.com/article/economy-failed-miners-says-amcus-mathunjwa-2013-08-16,c49ad7c3d933690a2b41b6eaef6b3b54b536f02d41bfedd77336c1f291bf0673,da57ceba1c62254d7a042da0a7c3082c650170d16477a4acfa1159a6f3a7d1ed,614
MEDIA-010,Slain Marikana workers to be remembered,2013,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/slain-marikana-workers-to-be-remembered-2013-08-13,https://www.miningweekly.com/article/slain-marikana-workers-to-be-remembered-2013-08-13,f7bf052ca8fc83e331141df7177012a846a69cea2f20480247f5ab67ed7d2e93,4e69553c50d5aebbe2143f6f911833ffe51800b29c392bdf205e7abced504227,840
MEDIA-011,Marikana one year later: the hell above and below ground,2013,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2013-08-16-marikana-one-year-later-the-hell-above-and-below-ground/,https://www.dailymaverick.co.za/article/2013-08-16-marikana-one-year-later-the-hell-above-and-below-ground/,fe32ec5ec52193da9a1a3e6917664eaa7925ab5b4d0d2e11834853f8538c54d0,1a166f5793921ecea06af25411a5c954cb70dbc518fa068cdd77b8a0ec845f12,1744
